rank,model,author,2026-W38,2026-W37,2026-W36,2026-W35,2026-W34,2026-W33,2026-W32,2026-W31,2026-W30,2026-W29,2026-W28,2026-W27,2026-W26,2026-W25,2026-W24,2026-W22,2026-W21
,Gemini 3.5 Flash,google,,,,,,,,,,,,,,470.0B(20),487.0B(18),528.0B(17),520.0B(15)
,GPT-4o-mini,openai,,,,,,,,,,,,,,,,481.0B(19),495.0B(16)
,GPT-5.5,openai,,,,,,,,,645.0B(14),873.0B(14),1.13T(11),1.07T(12),996.0B(11),,443.0B(20),473.0B(20),468.0B(17)
,Claude Opus 4.6,anthropic,,,,,,,,,,,,,,,458.0B(19),540.0B(14),457.0B(18)
,Laguna M.1 (free),poolside,,,,,,,,,597.0B(15),544.0B(18),720.0B(15),611.0B(17),,608.0B(16),568.0B(16),531.0B(16),403.0B(20)
,Claude Opus 4.8,anthropic,,,,,,,558.0B(20),1.44T(10),2.06T(9),2.03T(9),2.09T(8),1.91T(9),1.69T(8),1.25T(9),1.16T(10),,
,Step 3.7 Flash,stepfun,,,,,966.0B(15),1.27T(14),1.66T(9),1.92T(8),750.0B(13),1.22T(10),1.55T(9),1.52T(11),886.0B(15),774.0B(13),810.0B(12),,
,GLM 5.1,z-ai,,,,,,,,,,,,,993.0B(12),549.0B(17),,,
,Nex-N2-Pro (free),nex-agi,,,,,,,,,,,,,583.0B(19),,,,
,gpt-oss-120b,openai,,,,,,,,,526.0B(20),505.0B(20),470.0B(20),,,,,,
,Gemini 3.1 Flash Lite,google,,,,,,,,586.0B(19),540.0B(19),507.0B(19),,,,,,,
,Hy3 (free),tencent,,,,,,,,1.76T(9),11.5T(1),,,,,,,,
,Grok 4.5,x-ai,,,,,,,,571.0B(20),,,,,,,,,
,Ling-3.0-flash (free),inclusionai,,,,,,,1.39T(11),,,,,,,,,,
,Laguna S 2.1 (free),poolside,,1.33T(18),1.35T(18),1.6T(12),1.66T(11),1.87T(10),930.0B(17),,,,,,,,,,
,Gemini 3.6 Flash,google,,,,1.02T(17),2.28T(9),2.33T(9),,,,,,,,,,,
,GPT-5.6 Terra,openai,,,,,931.0B(16),802.0B(18),,,,,,,,,,,
,Ling-3.0-flash,inclusionai,,,,,,627.0B(19),,,,,,,,,,,
,Gemini 3.7 Flash,google,,2.1T(12),3.95T(9),1.8T(10),,,,,,,,,,,,,
,DeepSeek V4 Pro 0813,deepseek,,,,992.0B(18),,,,,,,,,,,,,
,Nemotron 3.5 Lightning (free),nvidia,,,,972.0B(19),,,,,,,,,,,,,
,Ox Alpha,stealth,,,15.7T(1),,,,,,,,,,,,,,
,MiniMax M3 (free),minimax,,5.02T(6),,,,,,,,,,,,,,,
